Team,season_off_eff,season_def_eff,season_possessions,last5_off_eff,last5_def_eff,last5_possessions,away_off_eff,home_off_eff,neutral_off_eff,away_def_eff,home_def_eff,neutral_def_eff,away_possessions,home_possessions,neutral_possessions,off_eff,def_eff,possessions,Elo,Power_Rating,Elo_Normalized,Overall_Rating,SOS_Rating,quality_win,bad_loss,Resume_Score,Difficulty_Adjusted_Effectiveness,Recent_Form,Tournament_Score,Tournament_Rank,projected_seed,tournament_status,bubble_status
North Dakota State Bison,114.35422121720002,102.89656894048818,69.20645161290322,110.87289731251515,96.92879588066987,67.92,116.23329666720089,115.2604186338453,106.72336055057784,110.40725111280345,98.72242506446892,89.54763895078472,68.42833333333333,72.07272727272726,65.235,112.33926114103548,99.40228617707808,68.28912096774194,1637.1343932388163,12.936974963957397,5.485375729552652,10.701495193635973,-3.6975561577645437,1,1,-0.40000000000000013,3.7806453303653687,2.4864491551334424,2.77971012000135,81,Outside Field,Locked Out,Needs Work
Utah State Aggies,120.79894216737597,104.2875587983266,68.27333333333333,112.26586718824574,123.25130513070353,68.01,114.63912488066366,124.41056656844523,126.63770862377041,106.27442140847701,103.28919111551873,101.82125785770275,67.75833333333334,68.24464285714285,69.91875,119.54148839105258,108.65855024032726,68.4543125,1636.871412874502,10.882938150725323,5.474856514980083,9.26051366000175,1.4176842495970716,5,0,9.0,7.099364747649104,-27.496821311507162,5.4748859456437575,31,8–9 Seed,Lock,Safe
Illinois Fighting Illini,125.44103985316048,103.43951971711394,67.16290322580646,123.54593905433043,109.37878962555392,68.35499999999999,125.67794758929566,127.22910583599611,117.24949008577114,112.72301504909096,98.58735522418047,100.85248048213869,66.515,67.51470588235294,67.2875,123.73853218834456,104.53628130897764,67.47961693548388,1634.4550278689078,19.20225087936693,5.378201114756312,15.055035949983743,3.6352613353602683,7,0,12.6,12.103241819122866,-7.8343707072700255,9.892398531621556,5,2 Seed,Lock,Safe
Alabama Crimson Tide,122.59189771973388,111.04827021612694,75.1459677419355,125.53464203694416,114.19672725680918,70.735,117.65439203739304,126.65194946205598,120.6709445011633,115.83668895675684,108.65146692450593,109.05958054412963,75.5125,73.92666666666668,77.58333333333333,123.03944081625085,111.5370810254979,74.4088306451613,1632.5901953703055,11.502359790752948,5.303607814812222,9.64273419797073,4.439648539608453,9,0,16.2,10.204820905164137,-0.20571272347196157,9.304157871715805,6,2 Seed,Lock,Safe
Villanova Wildcats,115.58492454945859,104.64928878594897,67.33548387096775,105.7344064695194,107.51282565216279,69.82000000000001,109.07338824844355,121.50868453464302,104.30218248148111,104.7296161059579,105.19404339276011,99.53691070800065,68.76041666666667,66.24264705882354,68.075,111.42988371927717,104.59831629081017,68.06754032258064,1632.4182174552045,6.831567428466997,5.296728698208181,6.371115809389352,2.0591006718995186,1,0,1.8,3.9033122065516306,-12.714054946153013,3.1794313872589104,73,Outside Field,Work To Do,Needs Work
Tulsa Golden Hurricane,123.05017738117998,106.36156268271694,68.77327586206897,130.73778629961691,102.35125391224453,67.25,121.12128994488442,125.998151719543,119.25592309038683,110.71416075247491,106.01664331354942,94.42475642323743,69.13958333333333,69.68076923076923,64.725,124.40294146717022,103.5684645511769,67.78521551724138,1632.3408888401832,20.83447691599332,5.293635553607328,16.17222450727752,0.04040724937100028,3,0,5.4,9.697933303677178,11.697917688909342,7.836013028913238,14,4 Seed,Lock,Safe
Miami Hurricanes,118.50241332683625,102.2210841055962,69.69677419354838,121.93501632304033,112.8450203880906,67.025,114.24167900659992,124.11029001110425,99.05760095534936,108.21958338833929,98.54505591882537,104.28225561707761,67.815,70.60833333333333,70.5,116.44384222016421,105.18624390294202,69.14931451612902,1631.718956923946,11.25759831722219,5.2687582769578425,9.460946305142885,0.08884437453426881,1,0,1.8,4.984134857975871,-7.191333286290316,3.8467940407605745,59,Bubble / First Four,Bubble,Bubble
UNC Wilmington Seahawks,113.9654550947101,102.06152998401087,66.14916666666666,114.61408289094632,105.18960311050765,67.13000000000001,113.54759424113023,115.38916063866795,96.61835748792271,105.10942705292176,98.45247108116163,120.18381053375752,68.10961538461538,64.1625,72.45,111.52554740275104,105.56189034809708,67.33949999999999,1631.6567197465329,5.9636570546539645,5.266268789861315,5.75444057521617,-1.2110533273351072,2,0,3.6,2.8615941572942982,-2.479445330260546,2.6451695193297793,85,Outside Field,Locked Out,Needs Work
South Florida Bulls,117.39281195510235,103.21565144885379,74.69250000000001,120.26608193979158,93.78356531533628,71.66499999999999,115.87661853360447,123.34161462510293,101.12058287459392,105.82877583214861,98.37052587321396,112.33421781370875,74.56458333333333,73.28035714285714,80.01875,115.67029508919839,102.22541487020266,74.73456250000001,1630.4075196051836,13.444880218995735,5.216300784207342,10.976306388559216,2.001216821079234,6,0,10.8,8.778377974976028,12.305356118206745,7.9674157649809105,13,4 Seed,Lock,Safe
Belmont Bruins,118.59813939590835,105.53540775053308,70.67500000000001,121.8535508399076,111.8662726057541,70.02000000000001,115.10582041535395,121.76603484745208,120.11211586462491,102.81229225252494,107.90316091858006,107.1937652903518,70.34464285714286,70.67321428571428,72.22500000000001,119.63908872721564,107.36687759531115,70.74375,1630.122440824484,12.272211131904484,5.204897632979364,10.152017082226948,-0.497616622661988,4,0,7.2,6.534718634830098,-3.0754534112217726,5.437952835936505,32,8–9 Seed,Lock,Safe
Arkansas Razorbacks,123.09268910343528,108.67147786656247,73.38225806451612,122.67947767091339,117.10996104533164,75.92999999999999,113.38637714780809,129.26165491352089,118.4332674283455,113.39070602999384,103.39431982893761,124.6036655475405,75.09,72.93055555555556,70.39999999999999,122.29047299404132,113.17092681340148,73.57185483870967,1629.876203706775,9.119546180639844,5.195048148270998,7.94219677092919,4.136511213661,6,0,10.8,7.795597397037288,-8.851694611291066,6.905910144960646,23,5–6 Seed,Lock,Safe
Utah Valley Wolverines,111.26663491518434,100.32753317217608,70.72946428571429,115.13651403431545,103.85782650771182,71.74,108.0685915262013,115.11657833903338,109.72504923871459,109.72919314087274,97.3813341552629,71.37180270880985,72.54423076923077,68.87083333333334,70.3,112.00286684349665,96.86674693655507,70.91767857142857,1629.533732800753,15.136119906941573,5.1813493120301155,12.149688728468135,-0.6069985046725881,3,2,1.0,6.0919984861412235,0.33958578359536773,4.636985930809241,46,11–12 Seed,Likely In,Bubble
Yale Bulldogs,120.76140413618656,107.2039440781347,66.3451923076923,109.91273299949312,100.27206379013174,64.85499999999999,114.56327107270185,125.20165861760442,128.25516712309602,104.72515813540178,107.69297607266404,113.4177219200101,67.54375,65.175,65.67500000000001,119.17330080004962,106.40304068241528,65.87211538461538,1627.049830429704,12.770260117634336,5.081993217188155,10.463780047500482,1.1157985925528247,3,0,5.4,6.848633554447224,-3.916790848690482,5.59250489362967,30,8–9 Seed,Lock,Safe
